CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile
小笠原村,父島字東海岸,東京都小笠原村父島字東海岸,,h03_13.csv
小笠原村,父島字時雨山,東京都小笠原村父島字時雨山,,h03_13.csv
小笠原村,父島字南袋沢,東京都小笠原村父島字南袋沢,,h03_13.csv
小笠原村,父島字巽谷,東京都小笠原村父島字巽谷,,h03_13.csv
小笠原村,父島字西海岸,東京都小笠原村父島字西海岸,,h03_13.csv
小笠原村,父島字兄島,東京都小笠原村父島字兄島,,h03_13.csv
小笠原村,父島字弟島,東京都小笠原村父島字弟島,,h03_13.csv
小笠原村,父島字西之島,東京都小笠原村父島字西之島,,h03_13.csv
小笠原村,母島字西台,東京都小笠原村母島字西台,,h03_13.csv
小笠原村,母島字東台,東京都小笠原村母島字東台,,h03_13.csv
小笠原村,母島字衣舘,東京都小笠原村母島字衣舘,,h03_13.csv
小笠原村,母島字庚申塚,東京都小笠原村母島字庚申塚,,h03_13.csv
小笠原村,母島字長浜,東京都小笠原村母島字長浜,,h03_13.csv
小笠原村,母島字石門,東京都小笠原村母島字石門,,h03_13.csv
小笠原村,母島字猪熊谷,東京都小笠原村母島字猪熊谷,,h03_13.csv
小笠原村,母島字西浦,東京都小笠原村母島字西浦,,h03_13.csv
小笠原村,母島蝙蝠谷,東京都小笠原村母島蝙蝠谷,,h03_13.csv
小笠原村,母島字船見台,東京都小笠原村母島字船見台,,h03_13.csv
小笠原村,母島字船木山,東京都小笠原村母島字船木山,,h03_13.csv
小笠原村,母島字東崎,東京都小笠原村母島字東崎,,h03_13.csv
小笠原村,母島字評議平,東京都小笠原村母島字評議平,,h03_13.csv
小笠原村,母島字中ノ平,東京都小笠原村母島字中ノ平,,h03_13.csv
小笠原村,母島字南崎,東京都小笠原村母島字南崎,,h03_13.csv
小笠原村,母島,東京都小笠原村母島,,h03_13.csv
小笠原村,硫黄島字北硫黄島,東京都小笠原村硫黄島字北硫黄島,,h03_13.csv
小笠原村,硫黄島字南硫黄島,東京都小笠原村硫黄島字南硫黄島,,h03_13.csv
