town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,公益財団法人　結核予防会　複十字病院,医療法人　啓仁会　吉祥寺南病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　山斗会　山中病院,医療法人社団　時正会　佐々総合病院,医療法人社団　東山会　調布東山病院,医療法人社団　武蔵野会　一橋病院,医療法人社団　永寿会　三鷹中央病院,医療法人財団　きよせ旭が丘記念病院,医療法人財団　緑秀会　田無病院,医療法人財団　荻窪病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,学校法人　順天堂　順天堂大学医学部附属練馬病院,独立行政法人　国立病院機構　東京病院,緑風荘病院
杉並区上荻一丁目,杉並区上荻一丁目,杉並区,上荻一丁目,139.61831141520514,35.70560786782551,7.664585436608848,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0
杉並区上荻二丁目,杉並区上荻二丁目,杉並区,上荻二丁目,139.61289299303505,35.70660960906588,7.167680159964777,1643.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,0.0,62.0,59.0,0.0
杉並区上荻三丁目,杉並区上荻三丁目,杉並区,上荻三丁目,139.60912764014165,35.708460651916276,6.776786123154661,730.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,140.0,0.0,0.0
杉並区上荻四丁目,杉並区上荻四丁目,杉並区,上荻四丁目,139.60437817639365,35.71017613431574,6.308386905611269,1161.0,0.0,0.0,0.0,105.0,63.0,0.0,0.0,0.0,0.0,0.0,933.0,0.0,60.0,0.0,0.0
杉並区西荻南一丁目,杉並区西荻南一丁目,杉並区,西荻南一丁目,139.60276155581474,35.69802299889645,6.768224262968884,524.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0
杉並区西荻南二丁目,杉並区西荻南二丁目,杉並区,西荻南二丁目,139.59994168925542,35.69979284292118,6.448406289970529,1601.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.0,0.0,175.0,0.0,0.0
杉並区西荻南三丁目,杉並区西荻南三丁目,杉並区,西荻南三丁目,139.6021611658043,35.702785301438574,6.459529128881979,488.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,103.0,38.0,309.0,0.0,0.0
杉並区西荻南四丁目,杉並区西荻南四丁目,杉並区,西荻南四丁目,139.60576276432036,35.70172760637954,6.802305649761576,1260.0,0.0,153.0,118.0,167.0,635.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,107.0,0.0,0.0
杉並区西荻北一丁目,杉並区西荻北一丁目,杉並区,西荻北一丁目,139.6074420750267,35.70561980632605,6.753804038233752,1493.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,69.0,0.0,0.0
杉並区西荻北二丁目,杉並区西荻北二丁目,杉並区,西荻北二丁目,139.60361379167728,35.70628842538026,6.407472634559481,1188.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,68.0,0.0,0.0,902.0,0.0,77.0,0.0,0.0
杉並区西荻北三丁目,杉並区西荻北三丁目,杉並区,西荻北三丁目,139.5985820000516,35.705669332580534,6.02580950645399,2344.0,0.0,0.0,0.0,106.0,66.0,0.0,0.0,0.0,0.0,0.0,1798.0,225.0,149.0,0.0,0.0
杉並区西荻北四丁目,杉並区西荻北四丁目,杉並区,西荻北四丁目,139.5953246932769,35.70788866554245,5.653328814797468,1791.0,0.0,58.0,0.0,103.0,56.0,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,182.0,0.0,111.0
杉並区西荻北五丁目,杉並区西荻北五丁目,杉並区,西荻北五丁目,139.60010729709398,35.709458606441395,5.977749740994891,1370.0,0.0,62.0,61.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.0,0.0,98.0,0.0,0.0
杉並区今川一丁目,杉並区今川一丁目,杉並区,今川一丁目,139.6125879712559,35.717020984445675,6.810256510724033,1884.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.0,56.0,0.0,0.0
杉並区今川二丁目,杉並区今川二丁目,杉並区,今川二丁目,139.6088571099,35.71712404728598,6.4787156349045105,1257.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,0.0,0.0,0.0,0.0
杉並区今川三丁目,杉並区今川三丁目,杉並区,今川三丁目,139.60468608586655,35.7165363618446,6.127092909423298,3663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3562.0,50.0,51.0,0.0,0.0
杉並区今川四丁目,杉並区今川四丁目,杉並区,今川四丁目,139.60002963196112,35.71624218648581,5.728444893678966,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0
杉並区清水一丁目,杉並区清水一丁目,杉並区,清水一丁目,139.61716607557824,35.710612196521915,7.388403742006612,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,0.0,81.0,0.0,0.0
杉並区清水二丁目,杉並区清水二丁目,杉並区,清水二丁目,139.61747169472486,35.71396409637512,7.316317038741704,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,48.0,0.0,0.0
杉並区清水三丁目,杉並区清水三丁目,杉並区,清水三丁目,139.61761288420894,35.71715366766532,7.2516749038426624,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,0.0,106.0,0.0,0.0
杉並区桃井一丁目,杉並区桃井一丁目,杉並区,桃井一丁目,139.61308864879578,35.712019758793694,6.990891912021241,1585.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,0.0,168.0,53.0,0.0
杉並区桃井二丁目,杉並区桃井二丁目,杉並区,桃井二丁目,139.60972583276026,35.71267260632315,6.679159669992729,1452.0,0.0,237.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,51.0,972.0,0.0,135.0,0.0,0.0
杉並区桃井三丁目,杉並区桃井三丁目,杉並区,桃井三丁目,139.60635943803447,35.71301895152369,6.3770453240734355,3179.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,0.0,218.0,0.0,0.0
杉並区桃井四丁目,杉並区桃井四丁目,杉並区,桃井四丁目,139.6022941422965,35.71346854520876,6.011728481375214,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0,49.0,0.0,0.0
杉並区井草一丁目,杉並区井草一丁目,杉並区,井草一丁目,139.62380216780736,35.726654727662705,7.680768010074525,852.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,143.0,0.0,71.0
杉並区井草二丁目,杉並区井草二丁目,杉並区,井草二丁目,139.6194531868727,35.72774610419708,7.283807619109211,2840.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.0,0.0,1374.0,0.0,0.0
杉並区井草三丁目,杉並区井草三丁目,杉並区,井草三丁目,139.61552453399224,35.72732640283794,6.931048326175918,647.0,0.0,52.0,0.0,54.0,51.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,300.0,0.0,0.0
